iter	Logloss
0	0.6649875079
1	0.6398135159
2	0.6167472632
3	0.5979511594
4	0.5808106132
5	0.5635815172
6	0.5495157862
7	0.5373657498
8	0.5264467383
9	0.5171505051
10	0.5084780549
11	0.499903629
12	0.4941390584
13	0.4877698977
14	0.481955365
15	0.4764152396
16	0.471604111
17	0.4668203574
18	0.462802667
19	0.458815081
20	0.4557258155
21	0.4530125704
22	0.4504992444
23	0.4484308037
24	0.4467951379
25	0.444933574
26	0.4433368536
27	0.4411580736
28	0.4396451533
29	0.4379660446
30	0.436538511
31	0.4354541743
32	0.4338730335
33	0.4326664387
34	0.4315438684
35	0.4306754057
36	0.4297247816
37	0.4286507827
38	0.4277233351
39	0.4269914249
40	0.4262647978
41	0.4254945941
42	0.4245685874
43	0.4237439249
44	0.4231736878
45	0.4220761207
46	0.4213108015
47	0.4207456987
48	0.4201908811
49	0.4197668279
50	0.4194221336
51	0.4185829389
52	0.4180883268
53	0.417741149
54	0.4171105579
55	0.4165819048
56	0.4159456802
57	0.4155244074
58	0.4150879356
59	0.4146994063
60	0.4142686607
61	0.413938775
62	0.4135614556
63	0.4132265443
64	0.4126883867
65	0.4123889398
66	0.4120495041
67	0.4116476354
68	0.4113400602
69	0.411047204
70	0.4107326753
71	0.4104007767
72	0.41004697
73	0.4097764347
74	0.4092695133
75	0.4089884083
76	0.4086322769
77	0.4083865294
78	0.4081201621
79	0.4077866339
80	0.4076020805
81	0.4073760697
82	0.4071839428
83	0.4069250601
84	0.4067357373
85	0.4065226215
86	0.4062290317
87	0.4059599462
88	0.4055921218
89	0.405344983
90	0.4051700514
91	0.4046131764
92	0.4043936688
93	0.4041426023
94	0.4039808585
95	0.4037886161
96	0.4035272189
97	0.4033644685
98	0.4027593085
99	0.4025140826
100	0.4023115153
101	0.4020460715
102	0.4018973917
103	0.4017667421
104	0.4016277116
105	0.4014162704
106	0.4012427543
107	0.4010916655
108	0.4009429278
109	0.4008066498
110	0.4006477863
111	0.4004802885
112	0.4002944674
113	0.4001301495
114	0.4000225914
115	0.3998509947
116	0.3997437022
117	0.3995664628
118	0.3994382758
119	0.3991887315
120	0.3990294205
121	0.39883373
122	0.3986937924
123	0.3985175747
124	0.3983783631
125	0.3982398284
126	0.3980932253
127	0.3978950796
128	0.3976884019
129	0.3974315214
130	0.3972163504
131	0.3970797486
132	0.3969655195
133	0.3968280784
134	0.3967173592
135	0.3965515535
136	0.3964088824
137	0.3962537949
138	0.3960834626
139	0.3959474363
140	0.395831369
141	0.3956286093
142	0.3955055722
143	0.3953551508
144	0.3952343254
145	0.3951130833
146	0.3949614478
147	0.3947352217
148	0.39461186
149	0.3944181508
150	0.3943013893
151	0.394078521
152	0.3938990233
153	0.3937536759
154	0.3935897977
155	0.3934055075
156	0.3932842311
157	0.3931951144
158	0.3930683869
159	0.3929343241
160	0.3927629505
161	0.3925574683
162	0.3924471922
163	0.3919294254
164	0.3918075809
165	0.3916756798
166	0.3915193454
167	0.3914045124
168	0.3912529063
169	0.3911496419
170	0.3910546892
171	0.3909440721
172	0.390841043
173	0.3907003533
174	0.3905836154
175	0.3904574524
176	0.3902919821
177	0.3901430385
178	0.3899940107
179	0.3898903442
180	0.3892757763
181	0.3891319864
182	0.3890059956
183	0.3888898976
184	0.3887064415
185	0.3886176059
186	0.3884381701
187	0.3882605321
188	0.3880997883
189	0.3879660794
190	0.3877992956
191	0.3876693297
192	0.3875083964
193	0.3873384683
194	0.3872445418
195	0.3871451789
196	0.3870420284
197	0.3869376671
198	0.3868266445
199	0.386738069
200	0.3865540148
201	0.3864632865
202	0.3863668707
203	0.386221444
204	0.3860670083
205	0.3859717842
206	0.3858765637
207	0.38573789
208	0.3855871286
209	0.3854864804
210	0.38539736
211	0.3852750494
212	0.3851859068
213	0.385083843
214	0.3849402985
215	0.3847849348
216	0.3846828509
217	0.3845553696
218	0.3844236049
219	0.3842904765
220	0.38414453
221	0.3840072574
222	0.3838525748
223	0.3837038157
224	0.3835972074
225	0.3835018965
226	0.3833948948
227	0.3832843837
228	0.3831698855
229	0.3830839447
230	0.3827895239
231	0.3826525751
232	0.3825838202
233	0.3824425254
234	0.3823104105
235	0.3822054218
236	0.382058742
237	0.3819415327
238	0.3818354433
239	0.3817230592
240	0.3815650207
241	0.3814853341
242	0.3813740027
243	0.3812806952
244	0.3810741187
245	0.3807465141
246	0.3806323358
247	0.3804922676
248	0.3803163244
249	0.3802230504
250	0.3800981532
251	0.3799456393
252	0.3798039894
253	0.3796785885
254	0.3795879468
255	0.3794481665
256	0.3792358936
257	0.3789477738
258	0.3788052175
259	0.3786667063
260	0.3785187314
261	0.3783810205
262	0.3782411018
263	0.3781185942
264	0.3778876814
265	0.3777855444
266	0.3776298816
267	0.3774758078
268	0.3773519556
269	0.3772365676
270	0.3770961731
271	0.3769520772
272	0.3768268213
273	0.3766777477
274	0.3765330096
275	0.3763396581
276	0.3762115177
277	0.3760812254
278	0.375913023
279	0.3757615332
280	0.3755539852
281	0.3754156433
282	0.3752485894
283	0.3751466382
284	0.3749704897
285	0.3748420464
286	0.3747384052
287	0.3744416944
288	0.3741939411
289	0.3739996294
290	0.373875432
291	0.3737380815
292	0.3735765673
293	0.3734517996
294	0.3733045276
295	0.3731574311
296	0.3729847056
297	0.3728553647
298	0.3727196502
299	0.372565755
300	0.3723115682
301	0.372155101
302	0.3719486007
303	0.3718100529
304	0.3715602425
305	0.3713841813
306	0.3712423987
307	0.3711110149
308	0.3708976365
309	0.3707715143
310	0.3706389462
311	0.3705285929
312	0.3703332661
313	0.3701856592
314	0.3700993515
315	0.3699578808
316	0.3697851987
317	0.3696334797
318	0.3695290795
319	0.3693892405
320	0.3691739208
321	0.36895781
322	0.3687780025
323	0.3686199267
324	0.3684920267
325	0.3682674099
326	0.3681383145
327	0.3680064071
328	0.3678265029
329	0.3676788798
330	0.3675441129
331	0.3673894263
332	0.3672123356
333	0.3670518016
334	0.3669201197
335	0.3667582392
336	0.3666241541
337	0.3664868893
338	0.3663306668
339	0.3661020583
340	0.3659543014
341	0.3658198364
342	0.3656597263
343	0.3654766585
344	0.3653472465
345	0.3652207614
346	0.3651115534
347	0.3649481203
348	0.3648238749
349	0.364640452
350	0.3644769599
351	0.3643539722
352	0.3642181887
353	0.3640555617
354	0.3638771332
355	0.3637464823
356	0.3635833427
357	0.3633498905
358	0.3631681558
359	0.3629875701
360	0.3627401888
361	0.3625602398
362	0.3624362178
363	0.3622133465
364	0.3620970167
365	0.3619828638
366	0.3617820191
367	0.3616436026
368	0.3615197535
369	0.3613551562
370	0.361243821
371	0.3611406192
372	0.3609988502
373	0.3608426044
374	0.3606484547
375	0.3604896636
376	0.3603375265
377	0.3601830397
378	0.3600045029
379	0.3598886244
380	0.3597544414
381	0.3596407734
382	0.3595250488
383	0.3594161926
384	0.359284568
385	0.359133712
386	0.3589392304
387	0.3588302576
388	0.3587182033
389	0.3586004885
390	0.3584402872
391	0.3582662972
392	0.3581405734
393	0.3580086365
394	0.3579199196
395	0.3578042815
396	0.3576419208
397	0.3574692863
398	0.3573544926
399	0.3572477995
400	0.3570823587
401	0.3569343159
402	0.3568184234
403	0.356699652
404	0.3565474437
405	0.3564118989
406	0.3562395546
407	0.3560712467
408	0.3559723976
409	0.3558487939
410	0.3557390115
411	0.3556305867
412	0.3555005423
413	0.3553453506
414	0.3552501344
415	0.3551188344
416	0.3549924372
417	0.3548703004
418	0.3547112458
419	0.3545465401
420	0.3544358301
421	0.3543004553
422	0.3541917803
423	0.3540259212
424	0.3538653805
425	0.3537115914
426	0.3536187537
427	0.3534679198
428	0.3533628762
429	0.3531908333
430	0.3530504648
431	0.3529187988
432	0.3528183195
433	0.3527279991
434	0.3525897114
435	0.3525083588
436	0.3524130426
437	0.3522128367
438	0.3521243418
439	0.3520060959
440	0.3519069168
441	0.3518056756
442	0.3516923877
443	0.3515774525
444	0.351475678
445	0.3513558281
446	0.3512042246
447	0.3510739791
448	0.3509310874
449	0.3508208145
450	0.3506820129
451	0.350572526
452	0.350467198
453	0.3503105311
454	0.3501746507
455	0.3500768765
456	0.3499236316
457	0.3497987033
458	0.3496597492
459	0.3495596679
460	0.3494249725
461	0.3492841552
462	0.3491643887
463	0.3490592365
464	0.3489600832
465	0.3488379594
466	0.3487315298
467	0.3486109516
468	0.3485122253
469	0.3483766443
470	0.3482469967
471	0.3481435539
472	0.3480198153
473	0.3478990701
474	0.3477610353
475	0.3476625906
476	0.3475409124
477	0.347425872
478	0.3473209129
479	0.3472106302
480	0.3471039415
481	0.34697441
482	0.3468578623
483	0.3467610428
484	0.3466585025
485	0.3464984313
486	0.3463863409
487	0.3463057157
488	0.3462080527
489	0.3460950312
490	0.3459872268
491	0.3458894536
492	0.3457657917
493	0.3456182544
494	0.345462703
495	0.3453786228
496	0.345222293
497	0.3451201671
498	0.3450156043
499	0.3449006973
