iter	Passed	Remaining
0	14	6989
1	27	6804
2	40	6741
3	53	6601
4	66	6546
5	80	6618
6	94	6623
7	107	6624
8	121	6613
9	134	6600
10	147	6567
11	161	6578
12	174	6522
13	187	6500
14	200	6468
15	212	6428
16	225	6419
17	239	6404
18	252	6386
19	265	6374
20	277	6340
21	290	6321
22	304	6308
23	316	6275
24	328	6235
25	341	6227
26	354	6207
27	366	6171
28	379	6159
29	392	6153
30	405	6134
31	416	6098
32	429	6074
33	441	6049
34	454	6040
35	466	6014
36	479	6006
37	491	5981
38	503	5952
39	515	5932
40	527	5902
41	539	5887
42	552	5875
43	566	5866
44	577	5841
45	591	5837
46	604	5827
47	616	5809
48	629	5790
49	641	5771
50	651	5738
51	665	5737
52	678	5724
53	690	5702
54	703	5692
55	715	5674
56	730	5678
57	743	5664
58	755	5650
59	768	5637
60	779	5612
61	792	5598
62	805	5586
63	817	5568
64	830	5556
65	842	5539
66	853	5516
67	865	5499
68	878	5484
69	890	5468
70	901	5449
71	914	5434
72	927	5427
73	940	5411
74	953	5400
75	965	5384
76	978	5373
77	990	5358
78	1002	5340
79	1014	5327
80	1026	5311
81	1038	5292
82	1049	5274
83	1062	5260
84	1073	5243
85	1086	5228
86	1098	5216
87	1111	5203
88	1124	5193
89	1137	5182
90	1149	5166
91	1162	5153
92	1173	5134
93	1186	5124
94	1198	5111
95	1210	5095
96	1223	5082
97	1235	5068
98	1248	5055
99	1260	5043
100	1272	5026
101	1285	5014
102	1296	4997
103	1309	4985
104	1321	4973
105	1335	4964
106	1347	4950
107	1360	4937
108	1372	4922
109	1383	4905
110	1395	4891
111	1407	4875
112	1418	4859
113	1431	4846
114	1443	4831
115	1455	4817
116	1467	4803
117	1479	4789
118	1490	4773
119	1504	4763
120	1515	4748
121	1528	4735
122	1540	4721
123	1552	4707
124	1564	4694
125	1576	4678
126	1588	4665
127	1599	4649
128	1612	4636
129	1625	4626
130	1637	4613
131	1650	4600
132	1661	4585
133	1673	4570
134	1684	4555
135	1697	4543
136	1709	4529
137	1721	4515
138	1733	4502
139	1745	4487
140	1757	4474
141	1770	4462
142	1782	4450
143	1794	4436
144	1807	4424
145	1819	4411
146	1831	4398
147	1844	4386
148	1856	4373
149	1869	4363
150	1881	4347
151	1893	4335
152	1905	4321
153	1917	4307
154	1929	4294
155	1941	4281
156	1954	4269
157	1965	4255
158	1977	4241
159	1989	4226
160	2001	4214
161	2013	4200
162	2024	4186
163	2036	4173
164	2048	4159
165	2060	4144
166	2071	4130
167	2083	4117
168	2096	4106
169	2108	4092
170	2119	4078
171	2131	4064
172	2142	4050
173	2154	4035
174	2166	4024
175	2178	4010
176	2190	3997
177	2201	3983
178	2214	3971
179	2226	3957
180	2238	3945
181	2251	3933
182	2263	3921
183	2275	3907
184	2287	3895
185	2299	3882
186	2312	3870
187	2324	3857
188	2336	3845
189	2349	3832
190	2361	3820
191	2373	3807
192	2385	3794
193	2397	3781
194	2409	3768
195	2422	3757
196	2435	3745
197	2446	3732
198	2458	3719
199	2471	3706
200	2482	3693
201	2494	3679
202	2505	3666
203	2518	3654
204	2530	3641
205	2542	3628
206	2554	3615
207	2566	3602
208	2578	3589
209	2589	3575
210	2600	3561
211	2612	3548
212	2624	3536
213	2636	3522
214	2647	3509
215	2659	3497
216	2672	3485
217	2684	3472
218	2697	3460
219	2709	3448
220	2722	3437
221	2734	3424
222	2747	3412
223	2759	3400
224	2772	3388
225	2784	3375
226	2796	3363
227	2808	3350
228	2819	3336
229	2831	3324
230	2844	3312
231	2856	3300
232	2868	3286
233	2880	3274
234	2892	3261
235	2904	3248
236	2916	3236
237	2928	3223
238	2941	3211
239	2953	3199
240	2965	3187
241	2977	3174
242	2989	3161
243	3000	3147
244	3012	3135
245	3026	3124
246	3038	3111
247	3050	3099
248	3063	3087
249	3074	3074
250	3086	3061
251	3098	3049
252	3110	3036
253	3122	3024
254	3133	3011
255	3145	2997
256	3158	2986
257	3171	2974
258	3184	2963
259	3195	2950
260	3208	2937
261	3219	2924
262	3232	2912
263	3244	2900
264	3256	2888
265	3267	2874
266	3279	2861
267	3290	2848
268	3302	2836
269	3313	2823
270	3325	2810
271	3337	2797
272	3349	2784
273	3361	2772
274	3374	2760
275	3387	2749
276	3399	2737
277	3411	2724
278	3424	2712
279	3440	2703
280	3453	2691
281	3466	2679
282	3479	2667
283	3490	2654
284	3502	2642
285	3514	2629
286	3526	2616
287	3539	2605
