iter	Passed	Remaining
0	333	166236
1	483	120304
2	627	103947
3	768	95337
4	916	90773
5	1070	88161
6	1228	86492
7	1384	85175
8	1519	82871
9	1653	81037
10	1816	80758
11	1961	79782
12	2125	79622
13	2270	78819
14	2427	78495
15	2582	78112
16	2729	77550
17	2879	77096
18	3015	76347
19	3171	76119
20	3327	75909
21	3483	75676
22	3642	75548
23	3811	75592
24	3986	75736
25	4132	75341
26	4284	75053
27	4445	74932
28	4584	74464
29	4730	74113
30	4876	73772
31	5024	73488
32	5190	73448
33	5333	73105
34	5471	72696
35	5613	72350
36	5756	72038
37	5907	71821
38	6058	71614
39	6199	71288
40	6342	71010
41	6486	70735
42	6622	70382
43	6770	70169
44	6927	70043
45	7075	69834
46	7224	69628
47	7374	69444
48	7512	69149
49	7668	69019
50	7809	68758
51	7962	68596
52	8124	68517
53	8285	68429
54	8430	68212
55	8585	68072
56	8750	68008
57	8899	67819
58	9046	67618
59	9185	67357
60	9344	67249
61	9501	67126
62	9672	67093
63	9822	66917
64	9960	66656
65	10136	66655
66	10278	66428
67	10432	66274
68	10589	66148
69	10757	66082
70	10923	66003
71	11061	65757
72	11234	65714
73	11390	65573
74	11560	65509
75	11700	65278
76	11841	65050
77	12008	64968
78	12159	64800
79	12324	64706
80	12461	64460
81	12592	64189
82	12727	63943
83	12880	63787
84	13054	63737
85	13216	63623
86	13368	63462
87	13514	63273
88	13671	63134
89	13833	63019
90	13982	62842
91	14136	62692
92	14271	62458
93	14404	62215
94	14561	62076
95	14714	61922
96	14848	61689
97	14975	61430
98	15146	61351
99	15304	61216
100	15439	60993
101	15584	60811
102	15749	60704
103	15883	60479
104	16042	60349
105	16182	60150
106	16313	59916
107	16456	59731
108	16598	59540
109	16740	59352
110	16891	59197
111	17022	58971
112	17167	58793
113	17303	58588
114	17460	58454
115	17627	58352
116	17769	58169
117	17902	57955
118	18042	57767
119	18198	57628
120	18341	57451
121	18499	57317
122	18633	57111
123	18760	56888
124	18887	56662
125	19041	56519
126	19183	56341
127	19322	56156
128	19458	55961
129	19585	55744
130	19713	55529
131	19881	55425
132	20018	55239
133	20172	55098
134	20312	54919
135	20457	54752
136	20586	54546
137	20729	54376
138	20860	54177
139	20991	53978
140	21152	53855
141	21292	53680
142	21430	53502
143	21583	53359
144	21711	53156
145	21840	52954
146	21980	52782
147	22117	52604
148	22248	52410
149	22388	52240
150	22522	52056
151	22652	51863
152	22796	51702
153	22922	51500
154	23054	51315
155	23199	51158
156	23326	50962
157	23453	50767
158	23582	50577
159	23711	50386
160	23838	50194
161	23982	50037
162	24110	49848
163	24240	49663
164	24388	49515
165	24529	49355
166	24658	49169
167	24800	49011
168	24931	48829
169	25073	48671
170	25223	48529
171	25374	48387
172	25513	48225
173	25666	48088
174	25797	47909
175	25929	47732
176	26075	47583
177	26206	47406
178	26348	47250
179	26476	47068
180	26610	46898
181	26741	46724
182	26870	46545
183	27021	46406
184	27150	46229
185	27284	46061
186	27428	45909
187	27563	45743
188	27732	45634
189	27879	45488
190	28015	45323
191	28164	45180
192	28291	45002
193	28423	44833
194	28571	44689
195	28728	44557
196	28859	44388
197	29031	44280
198	29155	44099
199	29325	43988
200	29452	43812
201	29614	43688
202	29749	43525
203	29896	43378
204	30053	43247
205	30190	43087
206	30352	42962
207	30483	42794
208	30611	42621
209	30745	42457
210	30873	42286
211	31003	42118
212	31138	41956
213	31263	41781
214	31389	41609
215	31528	41454
216	31664	41295
217	31834	41180
218	31978	41031
219	32104	40860
220	32234	40693
221	32361	40524
222	32491	40358
223	32616	40188
224	32746	40023
225	32886	39871
226	33024	39716
227	33152	39549
228	33285	39389
229	33424	39237
230	33567	39089
231	33722	38955
232	33869	38812
233	34004	38654
234	34133	38491
235	34287	38355
236	34439	38218
237	34612	38103
238	34759	37959
239	34887	37795
240	35017	37632
241	35148	37472
242	35279	37312
243	35410	37151
244	35542	36993
245	35700	36861
246	35828	36698
247	35981	36562
248	36110	36400
249	36266	36266
250	36414	36124
251	36547	35967
252	36682	35812
